country,code,year,birthrate,deathrate,population,continent,difference
Indonesia,IDN,2021,16.425,10.065,273753180,Asia,6.36
Iran,IRN,2021,13.699,6.437,87923430,Asia,7.262
Iraq,IRQ,2021,27.367,4.753,43533590,Asia,22.614
Ireland,IRL,2021,11.764,7.061,4986525,Europe,4.703
Isle of Man,IMN,2021,8.529,10.604,84286,Europe,-2.075
Israel,ISR,2021,19.608,5.606,8900057,Asia,14.002
Italy,ITA,2021,6.931,11.488,59240336,Europe,-4.557
Jamaica,JAM,2021,11.712,8.797,2827701,North America,2.915
Japan,JPN,2021,6.571,12.64,124612530,Asia,-6.069
Jersey,JEY,2021,10.401,8.735,109634,Europe,1.666
Jordan,JOR,2021,21.95,3.868,11148288,Asia,18.082
Kazakhstan,KAZ,2021,21.535,10.233,19196468,Asia,11.302
Kenya,KEN,2021,27.685,8.056,53005616,Africa,19.629
Kiribati,KIR,2021,27.207,6.236,128883,Oceania,20.971
Kosovo,OWID_KOS,2021,11.143,7.22,1662022,Europe,3.923
Kuwait,KWT,2021,10.41,2.906,4250111,Asia,7.504
Kyrgyzstan,KGZ,2021,24.126,6.197,6527742,Asia,17.929
Laos,LAO,2021,21.973,6.613,7425055,Asia,15.36
Latvia,LVA,2021,9.068,19.226,1873926,Europe,-10.158
Lebanon,LBN,2021,14.948,8.271,5592626,Asia,6.677
Lesotho,LSO,2021,26.107,14.186,2281464,Africa,11.921
Liberia,LBR,2021,31.287,8.838,5193422,Africa,22.449
Libya,LBY,2021,17.828,6.018,6735280,Africa,11.81
Liechtenstein,LIE,2021,9.188,7.226,39058,Europe,1.962
Lithuania,LTU,2021,9.619,18.254,2786652,Europe,-8.635
Luxembourg,LUX,2021,10.361,6.827,639330,Europe,3.534
Macao,MAC,2021,10.114,4.111,686616,Asia,6.003
Madagascar,MDG,2021,30.949,7.104,28915652,Africa,23.845
Malawi,MWI,2021,32.859,6.983,19889742,Africa,25.876
Malaysia,MYS,2021,15.24,6.034,33573870,Asia,9.206
Maldives,MDV,2021,14.088,3.02,521469,Asia,11.068
Mali,MLI,2021,41.643,9.274,21904990,Africa,32.369
Malta,MLT,2021,8.942,7.323,526751,Europe,1.619
Marshall Islands,MHL,2021,19.28,7.556,42074,Oceania,11.724
Martinique,MTQ,2021,9.535,11.19,368799,North America,-1.655
Mauritania,MRT,2021,33.194,7.44,4614981,Africa,25.754
Mauritius,MUS,2021,10.343,9.643,1298922,Africa,0.7
Mayotte,MYT,2021,33.71,3.164,316022,Africa,30.546
Mexico,MEX,2021,14.857,9.406,126705140,North America,5.451
Micronesia (country),FSM,2021,20.777,6.211,113143,Oceania,14.566
Moldova,MDA,2021,12.432,16.36,3061509,Europe,-3.928
Monaco,MCO,2021,8.805,21.275,36713,Europe,-12.47
Mongolia,MNG,2021,21.413,6.131,3347782,Asia,15.282
Montenegro,MNE,2021,11.093,12.034,627856,Europe,-0.941
Montserrat,MSR,2021,9.079,11.039,4438,North America,-1.96
Morocco,MAR,2021,17.545,6.17,37076588,Africa,11.375
Mozambique,MOZ,2021,36.598,8.793,32077074,Africa,27.805
Myanmar,MMR,2021,17.103,9.769,53798090,Asia,7.334
Namibia,NAM,2021,27.439,10.709,2530150,Africa,16.73
Nauru,NRU,2021,27.56,6.633,12533,Oceania,20.927
Nepal,NPL,2021,20.402,7.776,30034988,Asia,12.626
Netherlands,NLD,2021,10.316,9.614,17501696,Europe,0.702
New Caledonia,NCL,2021,14.417,6.063,287809,Oceania,8.354
New Zealand,NZL,2021,12.436,6.627,5129730,Oceania,5.809
Nicaragua,NIC,2021,20.507,4.859,6850546,North America,15.648
Niger,NER,2021,45.293,8.141,25252722,Africa,37.152
Nigeria,NGA,2021,37.117,13.083,213401330,Africa,24.034
Niue,NIU,2021,13.96,13.853,1957,Oceania,0.107
North Korea,PRK,2021,13.24,9.313,25971910,Asia,3.927
North Macedonia,MKD,2021,9.562,13.879,2103329,Europe,-4.317
Northern Mariana Islands,MNP,2021,12.236,5.945,49503,Oceania,6.291
Norway,NOR,2021,9.979,7.757,5403021,Europe,2.222
Oman,OMN,2021,18.419,3.796,4520474,Asia,14.623
Pakistan,PAK,2021,27.519,7.168,231402110,Asia,20.351
Palau,PLW,2021,15.158,12.652,18050,Oceania,2.506
Palestine,PSE,2021,28.236,3.815,5133393,Asia,24.421
Panama,PAN,2021,17.692,6.067,4351264,North America,11.625
Papua New Guinea,PNG,2021,25.514,6.683,9949438,Oceania,18.831
Paraguay,PRY,2021,20.627,7.638,6703802,South America,12.989
Peru,PER,2021,17.622,7.988,33715464,South America,9.634
Philippines,PHL,2021,21.813,7.311,113880340,Asia,14.502
Poland,POL,2021,9.488,13.119,38307724,Europe,-3.631
Portugal,PRT,2021,7.833,12.024,10290109,Europe,-4.191
Puerto Rico,PRI,2021,8.144,10.097,3256030,North America,-1.953
Qatar,QAT,2021,9.816,1.311,2688239,Asia,8.505
Reunion,REU,2021,14.562,5.835,966132,Africa,8.727
Romania,ROU,2021,10.105,16.253,19328558,Europe,-6.148
Russia,RUS,2021,9.643,16.964,145102750,Europe,-7.321
Rwanda,RWA,2021,29.976,6.28,13461891,Africa,23.696
Saint Barthelemy,BLM,2021,8.161,5.569,10888,North America,2.592
Saint Helena,SHN,2021,7.659,16.084,5428,Africa,-8.425
Saint Kitts and Nevis,KNA,2021,12.125,10.181,47631,North America,1.944
Saint Lucia,LCA,2021,11.49,10.299,179663,North America,1.191
